Rugosidade;n;f;a
5.34;135;0.2;0.6
9.49;135;0.32;0.6
1.68;135;0.08;1.1
1.92;135;0.2;1.1
4.06;135;0.32;1.1
1.86;135;0.08;1.6
4.12;135;0.2;1.6
9.44;135;0.32;1.6
2.61;210;0.08;0.6
4.51;210;0.2;0.6
11.05;210;0.32;0.6
1.01;210;0.08;1.1
2.75;210;0.2;1.1
7.49;210;0.32;1.1
2.64;210;0.08;1.6
6.06;210;0.2;1.6
14.37;210;0.32;1.6
0.56;285;0.08;0.6
2.84;285;0.2;0.6
9.7;285;0.32;0.6
0.91;285;0.08;1.1
2.74;285;0.2;1.1
6.12;285;0.32;1.1
1.25;285;0.08;1.6
4.18;285;0.2;1.6
10.17;285;0.32;1.6
1.24;135;0.08;0.6
