Rugosidade;n;f;a
1.19;50;0.15;1
1.05;50;0.15;1.5
1.78;50;0.15;2
2.13;50;0.2;1
1.47;50;0.2;1.5
2.15;50;0.2;2
2.88;50;0.25;1
3.16;50;0.25;1.5
2.61;50;0.25;2
0.96;100;0.15;1
1.1;100;0.15;1.5
1.48;100;0.15;2
2.54;100;0.2;1
2.3;100;0.2;1.5
2.6;100;0.2;2
2.81;100;0.25;1
3.22;100;0.25;1.5
3.14;100;0.25;2
1.1;150;0.15;1
1.26;150;0.15;1.5
1.55;150;0.15;2
1.92;150;0.2;1
1.9;150;0.2;1.5
2.12;150;0.2;2
2.84;150;0.25;1
3;150;0.25;1.5
3.73;150;0.25;2
