Força;n;f;a
54.59;55;0.04;0.1
56.88;55;0.04;0.1
52.56;93;0.04;0.1
49.72;93;0.04;0.1
85.94;55;0.12;0.1
85.23;55;0.12;0.1
84.2;93;0.12;0.1
78.49;93;0.12;0.1
87.63;55;0.04;0.2
79.32;55;0.04;0.2
88.51;93;0.04;0.2
82.48;93;0.04;0.2
116.4;55;0.12;0.2
126.76;55;0.12;0.2
125.1;93;0.12;0.2
118.2;93;0.12;0.2
77.32;74;0.08;0.15
87.13;74;0.08;0.15
83.86;74;0.08;0.15
91.62;74;0.08;0.15
