Rugosidade;n;f;a
5.48;175;0.25;2
5.81;150;0.3;1.5
4.33;150;0.2;1.5
3.74;150;0.1;1.5
4.36;125;0.15;2
4.53;150;0.2;1.5
5.55;125;0.25;2
4.14;150;0.2;1.5
4.48;175;0.25;1
4.23;200;0.2;1.5
3.63;175;0.15;1
3.88;150;0.2;0.5
4.26;150;0.2;1.5
5.13;150;0.2;2.5
4.38;175;0.15;2
4.24;125;0.15;1
4.98;100;0.2;1.5
4.94;125;0.25;1
4.26;150;0.2;1.5
4.37;150;0.2;1.5
