Rugosidade;n;f;a
4.2;180;0.16;0.45
4.2;180;0.16;0.15
5.1;120;0.16;0.45
3.2;240;0.12;0.3
3.5;180;0.12;0.3
3.1;120;0.08;0.3
2.1;240;0.08;0.3
3.6;240;0.16;0.15
3;240;0.12;0.15
2.3;180;0.08;0.15
4.8;120;0.12;0.3
5.4;120;0.16;0.3
3.3;180;0.12;0.45
3.1;240;0.12;0.45
5.6;120;0.16;0.15
2.2;180;0.08;0.45
3.2;120;0.08;0.45
4.2;180;0.16;0.3
2;240;0.08;0.15
3;120;0.08;0.15
3.5;240;0.16;0.45
3.4;180;0.12;0.15
2.4;180;0.08;0.3
3.7;240;0.16;0.3
5;120;0.12;0.15
4.6;120;0.12;0.45
2;240;0.08;0.45
