Rugosidade;n;f;a
0.86;260;0.08;0.25
0.72;370;0.08;0.25
0.64;530;0.08;0.25
1.16;260;0.14;0.25
0.91;370;0.14;0.25
0.83;530;0.14;0.25
1.86;260;0.2;0.25
1.76;370;0.2;0.25
1.66;530;0.2;0.25
0.55;260;0.08;0.5
0.52;370;0.08;0.5
0.45;530;0.08;0.5
0.88;260;0.14;0.5
0.81;370;0.14;0.5
0.77;530;0.14;0.5
1.65;260;0.2;0.5
1.65;370;0.2;0.5
1.65;530;0.2;0.5
0.62;260;0.08;0.75
0.54;370;0.08;0.75
0.47;530;0.08;0.75
0.87;260;0.14;0.75
0.8;370;0.14;0.75
0.77;530;0.14;0.75
1.53;260;0.2;0.75
1.5;370;0.2;0.75
1.43;530;0.2;0.75
