Rugosidade;n;f;a
5.68;50;0.15;1
5.83;50;0.15;1.5
9.84;50;0.15;2
9.84;50;0.2;1
7.29;50;0.2;1.5
9.09;50;0.2;2
12.3;50;0.25;1
13.42;50;0.25;1.5
10.95;50;0.25;2
5.15;100;0.15;1
5.18;100;0.15;1.5
7.47;100;0.15;2
9.48;100;0.2;1
9.68;100;0.2;1.5
10.97;100;0.2;2
11.88;100;0.25;1
14.45;100;0.25;1.5
13.68;100;0.25;2
5.11;150;0.15;1
5.66;150;0.15;1.5
6.27;150;0.15;2
8.24;150;0.2;1
8.56;150;0.2;1.5
10.74;150;0.2;2
11.9;150;0.25;1
12.87;150;0.25;1.5
14.27;150;0.25;2
