Força;n;f;a
1118;175;0.25;2
1088;150;0.3;1.5
830;150;0.2;1.5
615;150;0.1;1.5
894;125;0.15;2
793;150;0.2;1.5
1296;125;0.25;2
784;150;0.2;1.5
609;175;0.25;1
759;200;0.2;1.5
492;175;0.15;1
342;150;0.2;0.5
783;150;0.2;1.5
1165;150;0.2;2.5
927;175;0.15;2
558;125;0.15;1
885;100;0.2;1.5
799;125;0.25;1
822;150;0.2;1.5
806;150;0.2;1.5
