Força;n;f;a
45.58;260;0.08;0.25
43.74;370;0.08;0.25
30.73;530;0.08;0.25
82.31;260;0.14;0.25
75.23;370;0.14;0.25
61.88;530;0.14;0.25
107.14;260;0.2;0.25
82.06;370;0.2;0.25
76.58;530;0.2;0.25
115.93;260;0.08;0.5
90.07;370;0.08;0.5
84.48;530;0.08;0.5
153.68;260;0.14;0.5
143.5;370;0.14;0.5
133.8;530;0.14;0.5
206.42;260;0.2;0.5
183.86;370;0.2;0.5
171.16;530;0.2;0.5
151.26;260;0.08;0.75
146.71;370;0.08;0.75
137.73;530;0.08;0.75
246.17;260;0.14;0.75
239.2;370;0.14;0.75
221.69;530;0.14;0.75
307.2;260;0.2;0.75
255.12;370;0.2;0.75
173.4;530;0.2;0.75
