Força;n;f;a
77.8;100;0.09;0.5
160;100;0.18;0.5
289.7;100;0.355;0.5
107.6;200;0.09;0.5
161.9;200;0.18;0.5
284.6;200;0.355;0.5
90.4;400;0.09;0.5
148.7;400;0.18;0.5
231;400;0.355;0.5
135.8;100;0.09;1
232.7;100;0.18;1
431.6;100;0.355;1
144.8;200;0.09;1
217.6;200;0.18;1
399.3;200;0.355;1
129.7;400;0.09;1
186;400;0.18;1
321.9;400;0.355;1
157.4;100;0.09;2
248.4;100;0.18;2
571;100;0.355;2
154.6;200;0.09;2
246.2;200;0.18;2
456.1;200;0.355;2
141.5;400;0.09;2
231.7;400;0.18;2
363.6;400;0.355;2
