Força;n;f;a
190;90;0.18;1.07
602;9.5;0.115;0.785
456;30;0.18;0.5
225;60;0.01;0.785
445;60;0.115;0.785
390;60;0.115;1.264
160;110.45;0.115;0.785
580;30;0.18;1.07
551;60;0.115;0.785
555;60;0.115;0.785
270;90;0.18;0.5
185;90;0.05;1.07
440;60;0.224;0.785
461;60;0.115;0.785
442;30;0.05;1.07
432;30;0.05;0.5
476;60;0.115;0.785
295;60;0.115;0.305
445;60;0.115;0.785
147;90;0.05;0.5
