Rugosidade;n;f;a
1.78;90;0.18;1.07
2.3;9.5;0.115;0.785
2.2;30;0.18;0.5
0.99;60;0.01;0.785
0.93;60;0.115;0.785
1.49;60;0.115;1.264
0.62;110.45;0.115;0.785
2.2;30;0.18;1.07
0.93;60;0.115;0.785
0.99;60;0.115;0.785
1.25;90;0.18;0.5
0.52;90;0.05;1.07
2.4;60;0.224;0.785
0.99;60;0.115;0.785
1.6;30;0.05;1.07
1.9;30;0.05;0.5
0.92;60;0.115;0.785
1.3;60;0.115;0.305
0.93;60;0.115;0.785
0.72;90;0.05;0.5
