Força;n;f;a
24.73;55;0.04;0.1
26.93;55;0.04;0.1
21.29;93;0.04;0.1
23.2;93;0.04;0.1
47.52;55;0.12;0.1
48.48;55;0.12;0.1
45.79;93;0.12;0.1
45.1;93;0.12;0.1
44.59;55;0.04;0.2
41.34;55;0.04;0.2
43.07;93;0.04;0.2
44.18;93;0.04;0.2
78.62;55;0.12;0.2
88.63;55;0.12;0.2
83.17;93;0.12;0.2
80.79;93;0.12;0.2
43.3;74;0.08;0.15
50.41;74;0.08;0.15
48.04;74;0.08;0.15
53.33;74;0.08;0.15
