Força;n;f;a
200;90;0.18;1.07
617;9.5;0.115;0.785
463;30;0.18;0.5
231;60;0.01;0.785
455;60;0.115;0.785
404;60;0.115;1.264
163;110.45;0.115;0.785
590;30;0.18;1.07
459;60;0.115;0.785
461;60;0.115;0.785
279;90;0.18;0.5
190;90;0.05;1.07
444;60;0.224;0.785
464;60;0.115;0.785
447;30;0.05;1.07
436;30;0.05;0.5
471;60;0.115;0.785
300;60;0.115;0.305
451;60;0.115;0.785
150;90;0.05;0.5
