Rugosidade;n;f;a
0.869;120;0.12;1
1.091;120;0.12;1.5
1.104;120;0.12;2
0.816;160;0.12;1
0.859;160;0.12;1.5
0.873;160;0.12;2
0.766;200;0.12;1
0.785;200;0.12;1.5
0.864;200;0.12;2
1.62;120;0.18;1
1.628;120;0.18;1.5
1.632;120;0.18;2
1.391;160;0.18;1
1.42;160;0.18;1.5
1.452;160;0.18;2
1.284;200;0.18;1
1.371;200;0.18;1.5
1.428;200;0.18;2
2.576;120;0.22;1
2.582;120;0.22;1.5
2.629;120;0.22;2
1.998;160;0.22;1
2.029;160;0.22;1.5
2.086;160;0.22;2
1.766;200;0.22;1
1.929;200;0.22;1.5
1.973;200;0.22;2
