Força;n;f;a
441;100;0.2;1.5
287;142;0.15;1
605;200;0.2;2.5
361;200;0.2;1.5
480;142;0.15;2
361;265;0.15;2
402;265;0.25;1
257;200;0.2;0.5
555;200;0.3;1.5
219;265;0.15;1
391;200;0.2;1.5
383;200;0.2;1.5
362;300;0.2;1.5
553;142;0.25;2
377;142;0.25;1
532;265;0.25;2
351;200;0.2;1.5
350;200;0.2;1.5
376;200;0.2;1.5
253;200;0.1;1.5
