Rugosidade;n;f;a
0.824;120;0.12;1
0.86;120;0.12;1.5
0.984;120;0.12;2
0.802;160;0.12;1
0.888;160;0.12;1.5
0.939;160;0.12;2
0.692;200;0.12;1
0.786;200;0.12;1.5
0.834;200;0.12;2
1.112;120;0.18;1
1.27;120;0.18;1.5
1.379;120;0.18;2
1.287;160;0.18;1
1.546;160;0.18;1.5
1.56;160;0.18;2
1.284;200;0.18;1
1.324;200;0.18;1.5
1.509;200;0.18;2
1.845;120;0.22;1
1.981;120;0.22;1.5
2.232;120;0.22;2
1.681;160;0.22;1
1.722;160;0.22;1.5
1.901;160;0.22;2
1.572;200;0.22;1
1.783;200;0.22;1.5
1.883;200;0.22;2
