Força;n;f;a
17.93;55;0.04;0.1
18.92;55;0.04;0.1
15.34;93;0.04;0.1
15.9;93;0.04;0.1
24.06;55;0.12;0.1
24.4;55;0.12;0.1
23.27;93;0.12;0.1
20.37;93;0.12;0.1
42.2;55;0.04;0.2
37.4;55;0.04;0.2
43.01;93;0.04;0.2
40.43;93;0.04;0.2
45.08;55;0.12;0.2
47.68;55;0.12;0.2
51.87;93;0.12;0.2
47.53;93;0.12;0.2
25.85;74;0.08;0.15
32.42;74;0.08;0.15
29.93;74;0.08;0.15
35.2;74;0.08;0.15
