Força;n;f;a
492;175;0.25;2
506;150;0.3;1.5
386;150;0.2;1.5
314;150;0.1;1.5
433;125;0.15;2
383;150;0.2;1.5
559;125;0.25;2
377;150;0.2;1.5
405;175;0.25;1
397;200;0.2;1.5
328;175;0.15;1
256;150;0.2;0.5
383;150;0.2;1.5
564;150;0.2;2.5
407;175;0.15;2
296;125;0.15;1
445;100;0.2;1.5
411;125;0.25;1
377;150;0.2;1.5
413;150;0.2;1.5
