Rugosidade;n;f;a
6.18;100;0.2;1.5
5.71;142;0.15;1
6.36;200;0.2;2.5
5.29;200;0.2;1.5
5.73;142;0.15;2
4.89;265;0.15;2
5.07;265;0.25;1
5.03;200;0.2;0.5
6.48;200;0.3;1.5
4.65;265;0.15;1
5.48;200;0.2;1.5
5.39;200;0.2;1.5
5.45;300;0.2;1.5
6.81;142;0.25;2
5.76;142;0.25;1
6.48;265;0.25;2
5.37;200;0.2;1.5
5.25;200;0.2;1.5
5.53;200;0.2;1.5
4.98;200;0.1;1.5
