Melhores parâmetros: -0.101006 com {'epochs': 469, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 29}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2431  0.1799  10  0.1000      False   relu      38
1  -0.1182  0.1080  17  0.1000       True   relu     716
2  -0.2230  0.1833   7  0.0100       True   tanh     130
3  -0.3145  0.2364  19  0.0010      False   tanh     282
4  -0.1010  0.0888  29  0.0010      False   relu     469
5  -0.2073  0.2040  88  0.1000      False   tanh     926
6  -0.1373  0.1300  95  0.0001       True   relu     984
7  -0.1283  0.0315  10  0.0100       True   tanh     865
8  -0.4352  0.2761  58  0.0010       True   relu       8
9  -0.1049  0.0967   9  0.0100      False   tanh     514
10 -0.1221  0.1004  73  0.0001       True   relu     729
11 -0.3043  0.3455  22  0.0010       True   relu     543
12 -0.2626  0.4036  25  0.1000       True   relu     562
13 -0.1278  0.0994  53  0.0010      False   relu     498
14 -0.2176  0.1804  83  0.0100       True   relu     337
15 -0.5743  0.5310  99  0.0100      False   tanh      16
16 -0.1051  0.0311  23  0.0100      False   relu     472
17 -0.1765  0.2154  24  0.0010       True   relu     778
18 -0.1222  0.0520  58  0.0100       True   tanh     382
19 -0.1983  0.2467  35  0.1000      False   tanh     596
