Melhores parâmetros: -0.078860 com {'epochs': 562, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 25}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0997  0.0882  10  0.1000      False   relu      38
1  -0.1158  0.1698  17  0.1000       True   relu     716
2  -0.1270  0.1646   7  0.0100       True   tanh     130
3  -0.2578  0.2273  19  0.0010      False   tanh     282
4  -0.2000  0.2031  29  0.0010      False   relu     469
5  -0.1119  0.1278  88  0.1000      False   tanh     926
6  -0.1254  0.1468  95  0.0001       True   relu     984
7  -0.1065  0.1172  10  0.0100       True   tanh     865
8  -0.7323  0.5658  58  0.0010       True   relu       8
9  -0.1292  0.1816   9  0.0100      False   tanh     514
10 -0.1451  0.1375  73  0.0001       True   relu     729
11 -0.1690  0.2097  22  0.0010       True   relu     543
12 -0.0789  0.0980  25  0.1000       True   relu     562
13 -0.1557  0.1648  53  0.0010      False   relu     498
14 -0.0829  0.0948  83  0.0100       True   relu     337
15 -0.4615  0.3472  99  0.0100      False   tanh      16
16 -0.1105  0.0969  23  0.0100      False   relu     472
17 -0.1492  0.1439  24  0.0010       True   relu     778
18 -0.1123  0.1473  58  0.0100       True   tanh     382
19 -0.2614  0.1798  35  0.1000      False   tanh     596
